ResponseId,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,DevEnviron,OpSys,Age,Gender,CodingActivities,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MainBranch
142,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,9-11 years,15-17 years,Embedded applications or devices developer,,Assembly;C;C++;Java;Python;Delphi/Object Pascal,Assembly;C;C++;Java;Matlab;Python;Bash/Shell,,,,Android;Arduino;Raspberry Pi,,,Android Studio;Eclipse,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
149,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,,0-2 years,,,VBA,Python;SQL,,,,Arduino,,,,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
270,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,0-2 years,0-2 years,Back-end developer;Front-end developer;Full-stack developer;Student,6732.0,JavaScript;PHP;SQL;HTML;CSS,Java;JavaScript;PHP;R;SQL;HTML;CSS,SQL Server;MySQL,SQL Server;MySQL,,,Node.js;React,Node.js;React;Spring,Sublime Text,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
308,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",21-23 years,21-23 years,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,,CoffeeScript;JavaScript;Python;SQL;TypeScript;Delphi/Object Pascal;HTML;CSS;Bash/Shell,C#;Go;JavaScript;Python;SQL;TypeScript;Delphi/Object Pascal;HTML;CSS;Bash/Shell,SQL Server;Oracle;IBM Db2,"MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;IBM Db2;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Windows Desktop or Server,AWS;Azure;Heroku;Windows Desktop or Server,Angular;Node.js,Angular;.NET Core;Node.js;React;Xamarin,Atom;Visual Studio Code,Windows,,,Hobby;Contribute to open-source projects,,,,,
363,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,9-11 years,9-11 years,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,21708.0,JavaScript;PHP;Swift;HTML;CSS;Bash/Shell,JavaScript;Swift;HTML;CSS,MongoDB;Redis;MySQL;PostgreSQL;MariaDB;Amazon RDS/Aurora,MongoDB;Redis,Android;iOS,Android;iOS,Angular;Node.js;React,Node.js;React,Atom,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
448,Employed full-time,Some college/university study without earning a degree,10 to 19 employees,3-5 years,6-8 years,Back-end developer;Front-end developer;Full-stack developer;Student,,C#;Java;JavaScript;PHP;Python;SQL;TypeScript;VB.NET;Kotlin;HTML;CSS;Bash/Shell,C#;JavaScript;Python;TypeScript;Kotlin;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;MariaDB,"Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;MariaDB;Amazon DynamoDB;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Azure;iOS;Linux;Mac OS,Android;Apple Watch or Apple TV;Arduino;Azure;Gaming console;Heroku;iOS;Linux;Mac OS;Raspberry Pi;Firebase,Angular;.NET Core;Node.js,Angular;.NET Core;Django;Node.js;React;Cordova;Xamarin,Notepad++;Visual Studio;Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
466,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",3-5 years,3-5 years,Back-end developer;Database administrator;Front-end developer;Full-stack developer;QA or test developer,187152.0,JavaScript;Perl;PHP;Python;SQL;HTML;CSS,TypeScript;Kotlin,PostgreSQL,Cassandra,IBM Cloud or Watson;Linux;Mainframe;Firebase,Android;Firebase,Node.js;React,Django;TensorFlow,Sublime Text;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
497,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,18-20 years,30 or more years,Back-end developer;Database administrator;Designer;Embedded applications or devices developer;Front-end developer;Mobile developer,,Assembly;C;C++;C#;Lua;Objective-C;HTML;CSS,C;C++;C#,SQL Server;MySQL,,Android;iOS;Linux;Windows Desktop or Server,Linux,.NET Core;Node.js;Xamarin,.NET Core;Xamarin,Vim;Visual Studio;Visual Studio Code,Windows,,,Hobby;Contribute to open-source projects,,,,,
586,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,12-14 years,18-20 years,DevOps specialist;Embedded applications or devices developer;Full-stack developer;System administrator,52404.0,C;C++;JavaScript;Lua;PHP;Python;HTML;CSS;Bash/Shell,C;C++;Go;Python;Ruby;Rust;Bash/Shell,,,Azure;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server,Azure;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server,,,Vim;Visual Studio Code,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
616,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,15-17 years,30 or more years,Back-end developer;Educator or academic researcher,,C;JavaScript;Julia;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Assembly;C;C#;Go;JavaScript;Julia;Lua;PHP;Python;Rust;SQL;TypeScript;HTML;CSS;Bash/Shell,MySQL;MariaDB,MySQL;MariaDB,Linux,Arduino;Linux;Raspberry Pi,Node.js,Angular;.NET Core;Hadoop;Node.js;Spark;TensorFlow,Atom;Emacs;IPython / Jupyter;NetBeans;Visual Studio;Visual Studio Code,Windows,45 - 54 years old,Male,Hobby;Contribute to open-source projects,,,,,
