ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,OpSys,Age,Gender,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities,NEWCollabToolsWantToWorkWith
19,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,13,14,"Developer, full-stack",31140.0,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript,DynamoDB;Firebase;Microsoft SQL Server;MySQL;SQLite,DynamoDB,Android;AWS;Microsoft Azure,AWS,Angular/Angular.js;ASP.NET;Express;jQuery;React.js,Express;React.js,,MacOS,31.0,Man,.NET;.NET Core;Node.js,Node.js,Hobby,
87,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",8,20,"Developer, back-end;Developer, front-end",36060.0,Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL,Go;HTML/CSS;JavaScript;Kotlin;Python,Microsoft SQL Server,,Android;AWS;Docker;iOS;Linux;MacOS;Slack;Windows,AWS;Docker;Linux;MacOS,Django;React.js;Spring,Django;React.js,,MacOS,36.0,Man,.NET;Node.js,Node.js,Hobby,
130,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,6,13,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, game or graphics",13116.0,Bash/Shell/PowerShell;C++;Clojure;HTML/CSS;Java;Python;Ruby;SQL,Bash/Shell/PowerShell;C#;Clojure;Erlang;Go;HTML/CSS;Kotlin;Python;Ruby;Scala;SQL,MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS;Docker;Linux;MacOS;Slack;Windows;WordPress,AWS;Linux;Windows,Django;Flask;Spring,Django;Flask,,MacOS,23.0,Man,,,Hobby,
345,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees",12,14,"Developer, full-stack",46442.0,Java;JavaScript,Java;JavaScript;Kotlin;Python,MongoDB;MySQL,DynamoDB;Elasticsearch;Firebase;MongoDB,AWS;Docker;Heroku;Kubernetes,AWS;Docker;Kubernetes,Angular/Angular.js;Express;Spring,Angular/Angular.js;ASP.NET;Express;Spring,,Windows,33.0,Man,,React Native,Hobby;Contribute to open-source projects,
350,I am a developer by profession,"Not employed, but looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,10,"Database administrator;Developer, back-end;DevOps specialist;Student;System administrator",,C;C++;Elixir;HTML/CSS;Java;Kotlin;PHP;Ruby;SQL;Other(s):,Elixir;HTML/CSS;Java;Kotlin;Ruby;SQL;Other(s):,MariaDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;MySQL;PostgreSQL;Redis;SQLite,Heroku;Linux;Windows,Heroku;Linux;Windows,jQuery;Ruby on Rails;Vue.js,jQuery;Ruby on Rails;Vue.js,,Windows,19.0,Woman,,,Hobby;Contribute to open-source projects,
373,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,5,5,"Developer, full-stack;Developer, mobile",9840.0,C#;HTML/CSS;Java;JavaScript;Python,Dart;TypeScript,Microsoft SQL Server;MySQL;Oracle;SQLite,Firebase,Android;Windows,Android;AWS;Google Cloud Platform,ASP.NET;jQuery,Spring;Vue.js,,Windows,37.0,Man,.NET;.NET Core,Flutter;Node.js;Unity 3D;Unreal Engine,Hobby,
411,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,11,13,"Academic researcher;Data scientist or machine learning specialist;Developer, desktop or enterprise applications;Educator;Scientist;Student",28572.0,C;C++;JavaScript;Python;R;SQL,Bash/Shell/PowerShell;Other(s):,MySQL,MySQL,Linux;Windows,,jQuery,,,Windows,33.0,Man,TensorFlow,,Hobby;Contribute to open-source projects,
439,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,4,9,"Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;Student",7344.0,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell/PowerShell;C++;C#;F#;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,MongoDB;Oracle;PostgreSQL,,AWS;Docker;Linux;MacOS;Raspberry Pi;Windows,Angular/Angular.js;ASP.NET;jQuery;Vue.js,Angular/Angular.js;Express;React.js;Ruby on Rails;Spring;Vue.js,,Windows,23.0,Man,.NET;.NET Core,.NET;.NET Core;React Native;Unity 3D;Unreal Engine;Xamarin,Hobby,
572,I am a developer by profession,Employed part-time,Some college/university study without earning a degree,20 to 99 employees,Less than 1 year,10,"Developer, back-end;Student;System administrator",,Assembly;C;C++;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript,Assembly;C++;Python;Rust;SQL;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,Linux,Linux,Angular/Angular.js;Vue.js,Angular/Angular.js;Vue.js,,Linux-based,21.0,Man,Ansible;Node.js,Ansible;Node.js,Hobby;Contribute to open-source projects,
653,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",2,3,"Designer;Developer, full-stack;Developer, mobile",,C#;HTML/CSS;JavaScript;Kotlin;Objective-C;PHP;SQL;Swift,HTML/CSS;JavaScript;Kotlin;PHP;Swift,Firebase;MariaDB;MySQL;SQLite;Other(s):,Firebase;MySQL;SQLite,Android;IBM Cloud or Watson;iOS;Slack;WordPress,Android;Docker;Google Cloud Platform;IBM Cloud or Watson;iOS;WordPress,jQuery,React.js;Vue.js,,MacOS,,Man,,Node.js;Unity 3D;Unreal Engine,,
674,I am a developer by profession,Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,1,6,"Developer, full-stack",,C#;HTML/CSS;JavaScript;Python,Dart;Elixir;HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,Firebase;PostgreSQL,Docker;Linux;Windows,Docker;Linux;Windows,Express;Vue.js,Angular/Angular.js;Express;React.js;Vue.js,,Linux-based,18.0,Woman,Pandas;React Native,Pandas;React Native;Unreal Engine,,
685,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,2,10,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, game or graphics;Developer, mobile",9840.0,C#;HTML/CSS;Java;SQL,Assembly;C++;C#,MariaDB;PostgreSQL;SQLite,SQLite,Android;Linux;Windows,Android;Linux;Windows,Spring,Spring,,Windows,29.0,Man,.NET;Node.js;Xamarin,CryEngine;.NET Core;Unity 3D;Unreal Engine;Xamarin,Hobby;Contribute to open-source projects,
