ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,Age,Gender,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities
44,I am a developer by profession,Employed full-time,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,6,10,"Data or business analyst;Developer, back-end;Product manager",55893.0,HTML/CSS;Python;R;SQL;VBA,HTML/CSS;Java;JavaScript;Python;R;SQL,Microsoft SQL Server,Microsoft SQL Server,Windows,Linux;Windows,,,Github;Slack;Trello,Github;Slack;Trello,Windows,32.0,Man,,,
59,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,15,24,"Data or business analyst;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test",16488.0,C#;HTML/CSS;JavaScript;PHP;Ruby,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Microsoft SQL Server,Docker;MacOS,Microsoft Azure;Windows,ASP.NET;jQuery;Laravel;Ruby on Rails,Angular;ASP.NET;jQuery,Github;Slack;Trello,Github;Slack;Microsoft Teams;Microsoft Azure,Windows,38.0,Man,.NET;Node.js;Unity 3D,.NET,
241,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,10 to 19 employees,3,5,"Developer, front-end",8244.0,HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript,,Oracle,Android;Windows,Android;Windows,jQuery,jQuery,Github,Github,Windows,28.0,Man,React Native;Xamarin,React Native,Hobby
310,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",10,10,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",8712.0,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;Kotlin;Python;Swift;TypeScript,Bash/Shell/PowerShell;C;C#;HTML/CSS;Python;SQL;Swift,DynamoDB;Firebase;MariaDB;Microsoft SQL Server;MySQL;SQLite,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Android;Linux;Microsoft Azure;Raspberry Pi;Windows,Android;Docker;Heroku;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,ASP.NET Core;Express,Angular;ASP.NET Core;Django;Express;Vue.js,Github;Slack;Microsoft Azure,Confluence;Jira;Github;Slack;Microsoft Azure,Windows,27.0,Man,.NET Core;Cordova;Flutter;Node.js;Pandas;Unity 3D;Unreal Engine,.NET Core;Ansible;Apache Spark;Chef;Hadoop;Node.js;Pandas;Puppet;TensorFlow;Teraform;Torch/PyTorch;Unity 3D;Unreal Engine;Xamarin,Hobby
328,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",9,13,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",17184.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,Go,Oracle;Redis,Elasticsearch;MongoDB;Redis,Docker;Heroku;Linux,Docker;Kubernetes;Linux,Angular;Express;jQuery;Vue.js,Express;Vue.js,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",Github;Gitlab;Trello;Stack Overflow for Teams,Linux-based,32.0,Man,Cordova;Node.js;Unity 3D,Node.js;Teraform;Unity 3D,Hobby
343,"I am not primarily a developer, but I write code sometimes as part of my work","Not employed, but looking for work",Some college/university study without earning a degree,,,10,"DevOps specialist;Engineer, site reliability;System administrator",,Bash/Shell/PowerShell;Perl;Python;SQL,Bash/Shell/PowerShell;Go;JavaScript;Julia;Python;R;Rust;SQL,IBM DB2;MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Linux,AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;Kubernetes;Linux;Microsoft Azure,Flask,Angular;Angular.js;Flask;jQuery;React.js;Vue.js,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Linux-based,50.0,Man,Ansible;Pandas;Puppet,Ansible;Chef;Pandas;Puppet;TensorFlow;Teraform,Hobby
346,I am a developer by profession,Student,Some college/university study without earning a degree,,,4,,,C;C#;Dart;HTML/CSS;Java;JavaScript;Ruby,JavaScript;Python;Ruby,MySQL;Oracle,MongoDB;Oracle,,Docker;Google Cloud Platform;Linux;MacOS,Ruby on Rails,React.js;Ruby on Rails,Github;Gitlab,Github;Gitlab;Trello,Linux-based,23.0,Woman,Unity 3D,React Native,Hobby
382,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,500 to 999 employees,11,16,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test",24744.0,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;Scala,Bash/Shell/PowerShell;Python;Scala,DynamoDB;Microsoft SQL Server;MySQL;SQLite,DynamoDB;MySQL,AWS;Docker;Linux;Windows;WordPress,AWS;Docker;Linux,Angular;ASP.NET Core;Flask;Spring,Flask,Github;Gitlab;Slack;Microsoft Teams;Trello,Github;Gitlab,Windows,33.0,Man,.NET;.NET Core;Apache Spark,Apache Spark,Hobby
441,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, etc.)",100 to 499 employees,8,11,"Developer, back-end;Developer, full-stack",27492.0,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL;TypeScript,DynamoDB;Firebase;Microsoft SQL Server;MongoDB;MySQL;Oracle,Microsoft SQL Server;MongoDB,Android;AWS;Docker;Microsoft Azure,AWS;Microsoft Azure,Angular.js;ASP.NET;ASP.NET Core;jQuery;Vue.js,Angular;ASP.NET Core,Github;Gitlab;Slack;Trello,Confluence;Jira;Microsoft Teams;Microsoft Azure,Windows,28.0,Man,.NET;.NET Core;Cordova;Node.js;Xamarin,.NET;.NET Core,
528,I am a developer by profession,Employed full-time,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,7,9,"Developer, back-end;Developer, full-stack",12372.0,HTML/CSS;Java;Python;R;SQL,Java;JavaScript;Python;SQL,,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Arduino,AWS;Docker;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Windows,jQuery;Spring,Angular;Angular.js;jQuery;React.js;Spring,"Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",Windows,25.0,Man,Pandas,Flutter;Node.js;Pandas;React Native,Hobby
