ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,Age,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities,Gender
32,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,5,5,"Developer, full-stack",26374.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Netlify,Amazon Web Services (AWS);Cloudflare;Google Cloud;Netlify,Next.js;Node.js;React;Vue.js,Next.js;Node.js;React;Vue.js,Visual Studio Code,Visual Studio Code,MacOS;Ubuntu,25-34 years old,Flutter,Flutter,Hobby;Professional development or self-paced learning from online courses,
89,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",14,20,"Developer, full-stack",24345.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;R;Rust;SQL;TypeScript,MySQL;PostgreSQL,Cassandra;MongoDB;MySQL;Neo4J;PostgreSQL;Redis,,,jQuery,Laravel;Next.js;Vue.js,Jupyter Notebook/JupyterLab;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,Fedora,35-44 years old,,,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,
105,I am a developer by profession,"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,10,Engineering manager,,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Dynamodb;H2;MongoDB;PostgreSQL,BigQuery;H2;MongoDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Next.js;Node.js;React;Spring Boot,Next.js;Node.js;React;Spring Boot,IntelliJ IDEA;Notepad++;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,MacOS,18-24 years old,Micronaut;Spring Framework,Micronaut;Spring Framework,School or academic work,
108,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,100 to 499 employees,9,11,"Developer, full-stack",18665.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;TypeScript,C++;Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,PostgreSQL,Amazon Web Services (AWS),,Angular;NestJS;Node.js,Angular;Deno;Express,DataGrip;Visual Studio Code;WebStorm,DataGrip;IntelliJ IDEA;WebStorm,Windows;Windows Subsystem for Linux (WSL),25-34 years old,,,Professional development or self-paced learning from online courses;Freelance/contract work,
251,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",5,10,"Developer, mobile",30431.0,Dart;Swift,Dart;Swift,SQLite,Firebase Realtime Database;SQLite,,,,,Android Studio;Vim;Xcode,Android Studio;Vim;Xcode,Android;iOS,25-34 years old,Flutter,Flutter,Hobby;Freelance/contract work,
311,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",3,8,"Developer, back-end",,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PHP;SQL,MySQL,MySQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Cloudflare;Vultr,jQuery,jQuery,Notepad++;Vim;Visual Studio Code,Vim;Visual Studio Code,Windows,18-24 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);OpenGL,.NET (5+) ,Contribute to open-source projects;Professional development or self-paced learning from online courses,
445,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",5,6,"Developer, full-stack",40575.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,Go;HTML/CSS;Java;Rust;TypeScript,PostgreSQL,Cosmos DB;Elasticsearch;MongoDB;Oracle;PostgreSQL,Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,NestJS;Next.js;Node.js,AngularJS;NestJS;Next.js;Node.js;Spring Boot,Visual Studio Code,Android Studio;Eclipse;IntelliJ IDEA;Visual Studio Code;WebStorm,Debian;Windows;Windows Subsystem for Linux (WSL),25-34 years old,RabbitMQ,.NET (5+) ;Quarkus;Spring Framework,Hobby,
479,I am a developer by profession,"Employed, part-time",Some college/university study without earning a degree,2 to 9 employees,Less than 1 year,8,Data scientist or machine learning specialist,3652.0,Python,Rust,PostgreSQL;SQLite,Redis,Heroku,Amazon Web Services (AWS);Google Cloud,Django,FastAPI;Flask,Visual Studio Code,Visual Studio Code,Ubuntu,25-34 years old,Keras;NumPy;Opencv;TensorFlow,Keras;NumPy;Opencv;Torch/PyTorch,Hobby;Professional development or self-paced learning from online courses;School or academic work,
516,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,10,14,"Developer, back-end",28403.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;Swift,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Digital Ocean,Amazon Web Services (AWS);Digital Ocean,Express;Node.js;Nuxt.js;Vue.js,Express;Node.js;Nuxt.js;Vue.js,Vim;Visual Studio Code,Vim;Visual Studio Code,Ubuntu,35-44 years old,,,Hobby,
522,I code primarily as a hobby,"Employed, part-time",Some college/university study without earning a degree,,,10,Academic researcher,,,,,,,,,,,,Debian,35-44 years old,,,Contribute to open-source projects,
